doctor_id,doctor_name,slot_start,slot_end,available
D1,Dr. Maya Rao,2025-09-06 09:00:00,2025-09-06 09:30:00,True
D1,Dr. Maya Rao,2025-09-06 09:30:00,2025-09-06 10:00:00,True
D1,Dr. Maya Rao,2025-09-06 10:00:00,2025-09-06 10:30:00,True
D1,Dr. Maya Rao,2025-09-06 10:30:00,2025-09-06 11:00:00,True
D1,Dr. Maya Rao,2025-09-06 11:00:00,2025-09-06 11:30:00,True
D1,Dr. Maya Rao,2025-09-06 11:30:00,2025-09-06 12:00:00,True
D1,Dr. Maya Rao,2025-09-06 12:00:00,2025-09-06 12:30:00,True
D1,Dr. Maya Rao,2025-09-06 12:30:00,2025-09-06 13:00:00,True
D1,Dr. Maya Rao,2025-09-06 13:00:00,2025-09-06 13:30:00,True
D1,Dr. Maya Rao,2025-09-06 13:30:00,2025-09-06 14:00:00,True
D1,Dr. Maya Rao,2025-09-06 14:00:00,2025-09-06 14:30:00,True
D1,Dr. Maya Rao,2025-09-06 14:30:00,2025-09-06 15:00:00,True
D1,Dr. Maya Rao,2025-09-06 15:00:00,2025-09-06 15:30:00,True
D1,Dr. Maya Rao,2025-09-06 15:30:00,2025-09-06 16:00:00,True
D1,Dr. Maya Rao,2025-09-06 16:00:00,2025-09-06 16:30:00,True
D1,Dr. Maya Rao,2025-09-06 16:30:00,2025-09-06 17:00:00,True
D1,Dr. Maya Rao,2025-09-07 09:00:00,2025-09-07 09:30:00,True
D1,Dr. Maya Rao,2025-09-07 09:30:00,2025-09-07 10:00:00,True
D1,Dr. Maya Rao,2025-09-07 10:00:00,2025-09-07 10:30:00,True
D1,Dr. Maya Rao,2025-09-07 10:30:00,2025-09-07 11:00:00,True
D1,Dr. Maya Rao,2025-09-07 11:00:00,2025-09-07 11:30:00,False
D1,Dr. Maya Rao,2025-09-07 11:30:00,2025-09-07 12:00:00,False
D1,Dr. Maya Rao,2025-09-07 12:00:00,2025-09-07 12:30:00,True
D1,Dr. Maya Rao,2025-09-07 12:30:00,2025-09-07 13:00:00,True
D1,Dr. Maya Rao,2025-09-07 13:00:00,2025-09-07 13:30:00,True
D1,Dr. Maya Rao,2025-09-07 13:30:00,2025-09-07 14:00:00,True
D1,Dr. Maya Rao,2025-09-07 14:00:00,2025-09-07 14:30:00,True
D1,Dr. Maya Rao,2025-09-07 14:30:00,2025-09-07 15:00:00,True
D1,Dr. Maya Rao,2025-09-07 15:00:00,2025-09-07 15:30:00,True
D1,Dr. Maya Rao,2025-09-07 15:30:00,2025-09-07 16:00:00,True
D1,Dr. Maya Rao,2025-09-07 16:00:00,2025-09-07 16:30:00,True
D1,Dr. Maya Rao,2025-09-07 16:30:00,2025-09-07 17:00:00,True
D1,Dr. Maya Rao,2025-09-08 09:00:00,2025-09-08 09:30:00,True
D1,Dr. Maya Rao,2025-09-08 09:30:00,2025-09-08 10:00:00,True
D1,Dr. Maya Rao,2025-09-08 10:00:00,2025-09-08 10:30:00,True
D1,Dr. Maya Rao,2025-09-08 10:30:00,2025-09-08 11:00:00,True
D1,Dr. Maya Rao,2025-09-08 11:00:00,2025-09-08 11:30:00,True
D1,Dr. Maya Rao,2025-09-08 11:30:00,2025-09-08 12:00:00,True
D1,Dr. Maya Rao,2025-09-08 12:00:00,2025-09-08 12:30:00,True
D1,Dr. Maya Rao,2025-09-08 12:30:00,2025-09-08 13:00:00,True
D1,Dr. Maya Rao,2025-09-08 13:00:00,2025-09-08 13:30:00,True
D1,Dr. Maya Rao,2025-09-08 13:30:00,2025-09-08 14:00:00,True
D1,Dr. Maya Rao,2025-09-08 14:00:00,2025-09-08 14:30:00,True
D1,Dr. Maya Rao,2025-09-08 14:30:00,2025-09-08 15:00:00,True
D1,Dr. Maya Rao,2025-09-08 15:00:00,2025-09-08 15:30:00,True
D1,Dr. Maya Rao,2025-09-08 15:30:00,2025-09-08 16:00:00,True
D1,Dr. Maya Rao,2025-09-08 16:00:00,2025-09-08 16:30:00,True
D1,Dr. Maya Rao,2025-09-08 16:30:00,2025-09-08 17:00:00,True
D1,Dr. Maya Rao,2025-09-09 09:00:00,2025-09-09 09:30:00,True
D1,Dr. Maya Rao,2025-09-09 09:30:00,2025-09-09 10:00:00,True
D1,Dr. Maya Rao,2025-09-09 10:00:00,2025-09-09 10:30:00,True
D1,Dr. Maya Rao,2025-09-09 10:30:00,2025-09-09 11:00:00,True
D1,Dr. Maya Rao,2025-09-09 11:00:00,2025-09-09 11:30:00,True
D1,Dr. Maya Rao,2025-09-09 11:30:00,2025-09-09 12:00:00,True
D1,Dr. Maya Rao,2025-09-09 12:00:00,2025-09-09 12:30:00,True
D1,Dr. Maya Rao,2025-09-09 12:30:00,2025-09-09 13:00:00,True
D1,Dr. Maya Rao,2025-09-09 13:00:00,2025-09-09 13:30:00,True
D1,Dr. Maya Rao,2025-09-09 13:30:00,2025-09-09 14:00:00,True
D1,Dr. Maya Rao,2025-09-09 14:00:00,2025-09-09 14:30:00,True
D1,Dr. Maya Rao,2025-09-09 14:30:00,2025-09-09 15:00:00,True
D1,Dr. Maya Rao,2025-09-09 15:00:00,2025-09-09 15:30:00,True
D1,Dr. Maya Rao,2025-09-09 15:30:00,2025-09-09 16:00:00,True
D1,Dr. Maya Rao,2025-09-09 16:00:00,2025-09-09 16:30:00,True
D1,Dr. Maya Rao,2025-09-09 16:30:00,2025-09-09 17:00:00,True
D1,Dr. Maya Rao,2025-09-10 09:00:00,2025-09-10 09:30:00,True
D1,Dr. Maya Rao,2025-09-10 09:30:00,2025-09-10 10:00:00,True
D1,Dr. Maya Rao,2025-09-10 10:00:00,2025-09-10 10:30:00,True
D1,Dr. Maya Rao,2025-09-10 10:30:00,2025-09-10 11:00:00,True
D1,Dr. Maya Rao,2025-09-10 11:00:00,2025-09-10 11:30:00,True
D1,Dr. Maya Rao,2025-09-10 11:30:00,2025-09-10 12:00:00,True
D1,Dr. Maya Rao,2025-09-10 12:00:00,2025-09-10 12:30:00,True
D1,Dr. Maya Rao,2025-09-10 12:30:00,2025-09-10 13:00:00,True
D1,Dr. Maya Rao,2025-09-10 13:00:00,2025-09-10 13:30:00,True
D1,Dr. Maya Rao,2025-09-10 13:30:00,2025-09-10 14:00:00,True
D1,Dr. Maya Rao,2025-09-10 14:00:00,2025-09-10 14:30:00,True
D1,Dr. Maya Rao,2025-09-10 14:30:00,2025-09-10 15:00:00,True
D1,Dr. Maya Rao,2025-09-10 15:00:00,2025-09-10 15:30:00,True
D1,Dr. Maya Rao,2025-09-10 15:30:00,2025-09-10 16:00:00,True
D1,Dr. Maya Rao,2025-09-10 16:00:00,2025-09-10 16:30:00,True
D1,Dr. Maya Rao,2025-09-10 16:30:00,2025-09-10 17:00:00,True
D1,Dr. Maya Rao,2025-09-11 09:00:00,2025-09-11 09:30:00,True
D1,Dr. Maya Rao,2025-09-11 09:30:00,2025-09-11 10:00:00,True
D1,Dr. Maya Rao,2025-09-11 10:00:00,2025-09-11 10:30:00,True
D1,Dr. Maya Rao,2025-09-11 10:30:00,2025-09-11 11:00:00,True
D1,Dr. Maya Rao,2025-09-11 11:00:00,2025-09-11 11:30:00,True
D1,Dr. Maya Rao,2025-09-11 11:30:00,2025-09-11 12:00:00,True
D1,Dr. Maya Rao,2025-09-11 12:00:00,2025-09-11 12:30:00,True
